('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         3099869 function calls (3069206 primitive calls) in 27.334 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      132    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
      652    0.001    0.000    0.004    0.000 typing_extensions.py:3228(_collect_parameters)
      401    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     2962    0.001    0.000    0.002    0.000 filter.py:292(matches_string)
    18718    0.001    0.000    0.001    0.000 element.py:2414(__bool__)
     2000    0.001    0.000    0.003    0.000 {built-in method builtins.any}
      607    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      424    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      369    0.001    0.000    1.885    0.005 sync.py:124(read)
    424/7    0.001    0.000    0.252    0.036 <frozen importlib._bootstrap>:911(_load_unlocked)
     3320    0.001    0.000    0.001    0.000 element.py:2355(get)
      285    0.001    0.000    0.009    0.000 typing.py:687(Union)
      607    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      683    0.001    0.000    0.007    0.000 _connection.py:438(next_event)
       25    0.001    0.000    0.002    0.000 _connection.py:603(_extract_stack_trace_information_from_stack)
  639/638    0.001    0.000    0.002    0.000 _readers.py:156(__call__)
      831    0.001    0.000    0.002    0.000 inspect.py:904(getfile)
     5904    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
     2948    0.001    0.000    0.002    0.000 filter.py:629(_match_attribute_value_helper)
      652    0.001    0.000    0.001    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      432    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     1073    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
      158    0.001    0.000    0.032    0.000 _connection.py:408(dispatch)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
       51    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
        1    0.001    0.001   27.166   27.166 financial_enhanced.py:99(get_financial_data)
      405    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     4614    0.001    0.000    0.001    0.000 <frozen posixpath>:41(_get_sep)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      320    0.001    0.000    0.002    0.000 _connection.py:272(_process_event)
        1    0.001    0.001    7.541    7.541 financial_enhanced.py:9(fetch_page_requests)
      772    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      602    0.001    0.000    0.001    0.000 base_events.py:814(_call_soon)
      723    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
       35    0.001    0.000    0.545    0.016 __init__.py:1(<module>)
     7886    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     4603    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       34    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     8920    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     5785    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      386    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      683    0.001    0.000    0.004    0.000 _connection.py:410(_extract_next_receive_event)
      209    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
     1441    0.001    0.000    0.001    0.000 <frozen posixpath>:60(isabs)
     4235    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      193    0.001    0.000    0.001    0.000 base.py:201(emit)
      123    0.001    0.000    0.001    0.000 enum.py:254(__set_name__)
     1030    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
    386/7    0.001    0.000    0.252    0.036 <frozen importlib._bootstrap_external>:989(exec_module)
     4943    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      418    0.001    0.000    0.001    0.000 enum.py:1562(__and__)
       26    0.001    0.000    0.009    0.000 dataclasses.py:921(_process_class)
      209    0.001    0.000    0.077    0.000 _compiler.py:740(compile)
       14    0.001    0.000    0.001    0.000 __init__.py:355(namedtuple)
     1913    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      607    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
       25    0.001    0.000    0.054    0.002 inspect.py:1738(getouterframes)
     2283    0.001    0.000    0.001    0.000 inspect.py:951(<genexpr>)
      976    0.001    0.000    0.003    0.000 <frozen posixpath>:413(abspath)
     2942    0.001    0.000    0.001    0.000 filter.py:321(matches_tag)
       26    0.001    0.000    0.001    0.000 {built-in method posix.write}
     2930    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3015    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
    56/16    0.001    0.000    0.011    0.001 css_parser.py:925(parse_selectors)
      684    0.001    0.000    0.003    0.000 typing.py:1147(__init__)
      193    0.001    0.000    0.001    0.000 base.py:185(_call_handlers)
       99    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
     1072    0.001    0.000    0.001    0.000 contextlib.py:141(__exit__)
      126    0.000    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     1073    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
       42    0.000    0.000    0.002    0.000 typing.py:2854(__new__)
     1158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
   940/13    0.000    0.000    0.251    0.019 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       13    0.000    0.000    0.003    0.000 enum.py:919(_convert_)
     1142    0.000    0.000    0.001    0.000 {built-in method fromkeys}
