('Net Income', '125,216,000', '101,832,000', '88,136,000', '72,361,000', '72,738,000')
         2927509 function calls (2896612 primitive calls) in 38.077 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 connection.py:375(close)
      369    0.000    0.000    1.219    0.003 socket.py:693(readinto)
      500    0.000    0.000    0.000    0.000 traceback.py:327(walk_stack)
  390/384    0.000    0.000    0.200    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
      848    0.000    0.000    0.001    0.000 _parser.py:372(_escape)
      251    0.000    0.000    0.001    0.000 <frozen os>:680(__getitem__)
      547    0.000    0.000    0.003    0.000 typing.py:1147(__init__)
       42    0.000    0.000    0.001    0.000 typing.py:2854(__new__)
       64    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
      249    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
      569    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      205    0.000    0.000    0.053    0.000 _parser.py:969(parse)
     1016    0.000    0.000    0.001    0.000 <frozen posixpath>:405(normpath)
      532    0.000    0.000    0.005    0.000 inspect.py:969(getabsfile)
      370    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      569    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      138    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
     1553    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     2343    0.000    0.000    0.001    0.000 inspect.py:951(<genexpr>)
2261/1926    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
     1256    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
     1400    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      440    0.000    0.000    0.000    0.000 enum.py:850(__setattr__)
      416    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      370    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      651    0.000    0.000    0.000    0.000 events.py:36(__init__)
      570    0.000    0.000    0.002    0.000 base_events.py:785(call_soon)
      418    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
      350    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      484    0.000    0.000    0.015    0.000 <frozen posixpath>:428(realpath)
      146    0.000    0.000    0.055    0.000 _transport.py:83(deserialize_message)
     1043    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
