Ingredient,Total Fat (% DV),Saturated Fat (% DV),Cholesterol (% DV),Total Carbohydrate (% DV),Dietary Fiber (% DV),Sodium (% DV),Protein (% DV),Added Sugars (% DV),Vitamin D (% DV),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Vitamin E (% DV),Vitamin K (% DV),Thiamin (% DV),Riboflavin (% DV),Niacin (% DV),Vitamin B6 (% DV),Folate (% DV),Vitamin B12 (% DV),Biotin (% DV),Pantothenic acid (% DV),Phosphorus (% DV),Iodine (% DV),Magnesium (% DV),Zinc (% DV),Selenium (% DV),Copper (% DV),Manganese (% DV),Chromium (% DV),Molybdenum (% DV),Chloride (% DV),Potassium (% DV),Choline (% DV)
scotch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.5,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0
seafood,6.1,0.0,8.3,6.0,2.5,26.5,16.1,0.0,0.0,2.8,11.8,1.4,6.7,6.0,2.3,10.7,6.7,14.3,6.4,8.2,51.7,0.0,0.0,7.0,0.0,3.3,6.3,20.2,8.8,0.0,0.0,0.0,0.0,2.4,4.3
seed,62.6,0.0,0.0,3.2,14.3,0.2,63.2,0.0,0.0,0.1,0.6,5.4,44.2,5.3,0.0,106.7,21.9,57.5,35.3,27.5,0.0,0.0,0.0,132.0,0.0,166.7,90.0,0.0,177.8,330.4,0.0,0.0,0.0,25.5,0.0
semolina,1.3,0.0,0.0,26.5,13.9,0.0,25.4,0.0,0.0,0.0,0.0,1.3,24.2,1.7,0.0,67.6,43.9,37.4,6.1,45.8,0.0,0.0,11.6,10.9,0.0,11.2,9.5,162.5,21.0,26.9,0.0,0.0,0.0,4.0,0.0
sesame,42.7,0.0,0.0,18.3,27.5,7.3,23.2,0.0,0.0,0.0,0.0,49.2,23.7,1.1,0.0,37.0,12.2,23.1,28.9,12.8,0.0,0.0,0.7,33.0,0.0,59.8,34.2,7.3,105.6,70.0,0.0,0.0,0.0,6.5,3.0
sesame oil,128.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shallot,0.1,0.0,0.0,6.1,11.4,0.5,5.0,0.0,0.0,0.0,8.9,2.8,6.7,0.3,0.7,5.0,1.5,1.2,20.3,8.5,0.0,0.0,5.8,4.8,0.0,5.0,3.6,2.2,9.8,12.7,0.0,0.0,0.0,7.1,2.1
shellfish,8.6,0.0,46.7,1.8,0.7,15.1,30.9,0.0,0.5,7.0,0.0,4.9,2.9,16.1,4.7,5.6,3.1,13.6,10.1,6.0,42.9,0.0,0.0,21.8,0.0,6.2,10.1,60.5,23.0,0.0,0.0,0.0,0.0,2.8,16.5
shrimp,0.0,0.0,37.3,0.0,0.0,21.5,23.6,0.0,0.0,0.0,0.0,5.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snapper,1.7,0.0,12.3,0.0,0.0,2.8,41.0,0.0,51.0,3.6,1.8,2.5,1.0,6.4,0.1,3.8,0.2,1.8,23.5,1.2,125.0,0.0,15.0,15.8,0.0,7.6,3.3,69.5,3.1,0.6,0.0,0.0,0.0,8.9,11.8
